SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
24410,-122.31805976,47.61586246,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,5,Capitol Hill
35198,-122.33653521,47.62313632,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,S,4,South Lake Union
58422,-122.33702531,47.62261869,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,7,South Lake Union
9702,-122.32142554,47.60787279,CHERRY ST BETWEEN MINOR AVE AND BROADWAY,SE,5,First Hill
54410,-122.34007491,47.6182605,BELL ST BETWEEN 8TH AVE AND DENNY WAY,SE,4,Denny Triangle
34506,-122.33288439,47.62139794,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,29,South Lake Union
58086,-122.32580847,47.61096366,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,SE,4,First Hill
79657,-122.32842887,47.60705621,MARION ST BETWEEN 7TH AVE AND 8TH AVE,NW,4,First Hill
80842,-122.32295033,47.61116914,SPRING ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,SE,9,First Hill
11870,-122.32361273,47.60948806,MINOR AVE BETWEEN MARION ST AND MADISON ST,NE,4,First Hill
54037,-122.32227056,47.603684,ALDER ST BETWEEN 9TH AVE AND TERRY AVE,NW,11,First Hill
8614,-122.3337482,47.61529696,9TH AVE BETWEEN HOWELL ST AND STEWART ST,NE,11,Denny Triangle
31302,-122.33766765,47.61759839,9TH AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,6,Denny Triangle
120105,-122.32878566,47.629648,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,NW,9,South Lake Union
35825,-122.32769663,47.6112925,UNIVERSITY ST BETWEEN TERRY AVE AND BOREN AVE,NW,7,First Hill
57198,-122.33290607,47.6237063,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,South Lake Union
8397,-122.34102708,47.61824767,8TH AVE BETWEEN BELL ST AND DENNY WAY,SW,8,Denny Triangle
81117,-122.33723822,47.62389155,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,W,15,South Lake Union
76058,-122.34172753,47.61769659,7TH AVE BETWEEN BELL ST AND DEXTER AVE,NE,4,Denny Triangle
8401,-122.34116298,47.6239067,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,W,11,South Lake Union
53810,-122.33965677,47.62387194,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,E,4,South Lake Union
32130,-122.33573119,47.62387342,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,E,8,South Lake Union
12886,-122.33311921,47.61653071,STEWART ST BETWEEN TERRY AVE AND BOREN AVE,SE,6,Denny Triangle
10873,-122.34041259,47.62212546,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,N,5,South Lake Union
75785,-122.34407494,47.61769677,6TH AVE BETWEEN BATTERY ST AND WALL ST,SW,7,Denny Triangle
11786,-122.33108562,47.6242189,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,7,South Lake Union
59041,-122.33052061,47.62369625,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,15,South Lake Union
53549,-122.34111554,47.62820088,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,W,24,South Lake Union
9470,-122.32075419,47.61932307,BROADWAY E BETWEEN E DENNY WAY AND E OLIVE WAY,E,12,Capitol Hill
13134,-122.34042534,47.62080468,THOMAS ST BETWEEN 8TH AVE N AND 9TH AVE N,S,7,South Lake Union
78073,-122.32928164,47.62369838,EASTLAKE AVE E BETWEEN REPUBLICAN ST AND MERCER ST,W,13,South Lake Union
53429,-122.33836153,47.61548441,7TH AVE BETWEEN WESTLAKE AVE AND LENORA ST,SW,4,Denny Triangle
76038,-122.32922007,47.60718833,7TH AVE BETWEEN MADISON ST OFF RP AND MADISON ST,NE,6,First Hill
